caregiver_id,caregiver_tenure_months,scheduled_duration_min,actual_duration_min,duration_deviation_min,arrival_deviation_min,tasks_assigned,tasks_completed,task_completion_rate,has_signature,entry_method,gps_mismatch_km,day_of_week,is_weekend,needs_manual_review
82,11,60,68.0,8.0,1.0,3,2,0.667,1,mobile_app,0.29,5,1,0
94,19,60,52.0,-8.0,5.0,3,2,0.667,1,mobile_app,0.27,5,1,0
92,25,60,59.0,-1.0,1.0,3,2,0.667,1,mobile_app,0.15,3,0,0
24,9,60,57.0,-3.0,19.0,3,2,0.667,1,mobile_app,0.16,0,0,1
44,23,90,100.0,10.0,-8.0,4,3,0.75,1,mobile_app,0.11,5,1,0
57,16,60,53.0,-7.0,-6.0,6,4,0.667,1,mobile_app,0.43,1,0,0
60,51,30,28.0,-2.0,0.0,2,1,0.5,1,mobile_app,0.8,5,1,1
6,51,30,26.0,-4.0,1.0,6,5,0.833,1,mobile_app,0.0,2,0,0
66,1,30,14.0,-16.0,-22.0,4,3,0.75,1,paper,0.0,5,1,1
19,36,60,64.0,4.0,4.0,4,3,0.75,1,mobile_app,0.86,6,1,0
90,38,90,89.0,-1.0,1.0,5,4,0.8,1,paper,0.0,0,0,0
82,23,120,121.0,1.0,-17.0,5,3,0.6,1,mobile_app,0.29,0,0,0
111,28,90,101.0,11.0,-1.0,6,5,0.833,1,mobile_app,0.25,4,0,0
90,47,60,67.0,7.0,-3.0,6,4,0.667,1,mobile_app,0.19,3,0,1
44,23,60,44.0,-16.0,-4.0,2,1,0.5,1,mobile_app,0.44,4,0,1
117,4,60,69.0,9.0,-15.0,4,3,0.75,1,mobile_app,0.09,0,0,0
50,22,60,62.0,2.0,3.0,4,3,0.75,1,mobile_app,0.33,6,1,0
40,15,120,115.0,-5.0,17.0,4,3,0.75,1,paper,0.0,1,0,0
109,23,60,63.0,3.0,2.0,6,4,0.667,1,mobile_app,0.26,0,0,0
45,14,60,40.0,-20.0,-21.0,5,3,0.6,1,mobile_app,0.45,2,0,1
10,9,60,78.0,18.0,3.0,4,3,0.75,1,mobile_app,0.02,5,1,0
57,59,30,32.0,2.0,-1.0,6,6,1.0,1,mobile_app,0.04,0,0,0
96,8,120,109.0,-11.0,-12.0,5,4,0.8,1,paper,0.0,3,0,0
23,42,30,26.0,-4.0,2.0,5,4,0.8,1,mobile_app,0.93,5,1,0
56,43,30,20.0,-10.0,4.0,5,3,0.6,1,mobile_app,0.18,3,0,0
16,37,60,58.0,-2.0,-4.0,2,1,0.5,1,paper,0.0,0,0,0
83,54,90,88.0,-2.0,-5.0,6,5,0.833,1,paper,0.0,1,0,1
58,1,60,41.0,-19.0,-24.0,5,4,0.8,1,paper,0.0,4,0,1
40,18,90,98.0,8.0,-6.0,2,1,0.5,0,paper,0.0,4,0,1
28,11,60,76.0,16.0,-2.0,3,2,0.667,1,mobile_app,0.62,1,0,0
68,35,30,30.0,0.0,-3.0,3,2,0.667,1,mobile_app,0.19,2,0,0
81,38,120,118.0,-2.0,-4.0,3,2,0.667,1,mobile_app,1.47,0,0,0
113,53,60,62.0,2.0,2.0,5,4,0.8,1,mobile_app,0.0,4,0,0
53,23,30,30.0,0.0,4.0,4,3,0.75,1,paper,0.0,3,0,0
20,14,60,47.0,-13.0,2.0,3,1,0.333,1,mobile_app,0.27,4,0,0
100,55,30,28.0,-2.0,2.0,5,4,0.8,1,mobile_app,0.26,2,0,0
76,40,30,28.0,-2.0,-4.0,3,2,0.667,1,paper,0.0,6,1,0
85,46,90,91.0,1.0,-5.0,2,2,1.0,1,mobile_app,0.21,0,0,0
12,27,60,60.0,0.0,-4.0,6,5,0.833,1,mobile_app,0.3,1,0,0
38,27,60,62.0,2.0,-4.0,3,2,0.667,1,paper,0.0,0,0,1
93,23,60,45.0,-15.0,-17.0,3,2,0.667,1,mobile_app,0.35,5,1,0
100,45,90,94.0,4.0,-2.0,5,5,1.0,1,mobile_app,0.01,2,0,0
53,13,30,30.0,0.0,11.0,5,4,0.8,1,mobile_app,0.74,0,0,0
97,58,30,39.0,9.0,2.0,2,1,0.5,1,mobile_app,0.05,5,1,0
102,11,90,85.0,-5.0,5.0,2,1,0.5,1,mobile_app,0.04,6,1,1
47,28,90,93.0,3.0,1.0,6,4,0.667,1,mobile_app,0.64,5,1,0
108,19,120,150.0,30.0,13.0,4,3,0.75,1,mobile_app,1.02,1,0,0
35,38,60,61.0,1.0,-6.0,4,3,0.75,1,mobile_app,0.66,0,0,0
29,41,30,30.0,0.0,-5.0,4,3,0.75,1,mobile_app,0.73,2,0,0
82,55,60,56.0,-4.0,3.0,4,3,0.75,1,paper,0.0,1,0,0
77,47,90,98.0,8.0,0.0,5,5,1.0,1,mobile_app,0.21,5,1,0
17,15,30,17.0,-13.0,-6.0,2,1,0.5,1,mobile_app,0.56,2,0,0
100,13,60,65.0,5.0,5.0,3,2,0.667,1,mobile_app,0.46,3,0,1
24,53,60,58.0,-2.0,-1.0,6,5,0.833,1,paper,0.0,4,0,0
97,29,90,88.0,-2.0,-6.0,2,1,0.5,1,mobile_app,0.31,3,0,1
1,6,90,71.0,-19.0,-10.0,6,5,0.833,1,paper,0.0,1,0,1
96,49,60,66.0,6.0,1.0,4,4,1.0,1,mobile_app,0.62,1,0,0
95,39,120,118.0,-2.0,1.0,2,1,0.5,1,paper,0.0,1,0,1
94,2,120,103.0,-17.0,18.0,4,2,0.5,1,mobile_app,0.18,0,0,1
80,47,30,36.0,6.0,-1.0,5,4,0.8,1,mobile_app,0.15,4,0,0
57,36,60,56.0,-4.0,-2.0,3,2,0.667,1,mobile_app,0.15,1,0,0
85,37,90,92.0,2.0,8.0,5,4,0.8,1,mobile_app,0.61,4,0,0
34,52,30,33.0,3.0,3.0,2,1,0.5,1,paper,0.0,2,0,1
94,30,60,64.0,4.0,1.0,2,1,0.5,1,mobile_app,0.84,3,0,0
67,28,60,41.0,-19.0,-11.0,5,3,0.6,1,paper,0.0,5,1,1
56,37,120,125.0,5.0,-5.0,4,3,0.75,1,mobile_app,0.24,4,0,0
61,12,60,59.0,-1.0,-11.0,5,3,0.6,1,mobile_app,0.24,2,0,0
69,9,90,86.0,-4.0,0.0,6,5,0.833,1,mobile_app,0.31,0,0,0
5,50,60,60.0,0.0,-2.0,6,6,1.0,1,mobile_app,0.98,5,1,0
17,13,30,11.0,-19.0,16.0,4,3,0.75,1,mobile_app,0.21,2,0,0
30,30,120,122.0,2.0,-11.0,4,3,0.75,1,mobile_app,0.11,0,0,0
14,16,30,15.0,-15.0,-11.0,6,4,0.667,1,mobile_app,0.41,4,0,1
53,14,30,27.0,-3.0,2.0,6,5,0.833,1,paper,0.0,5,1,0
81,36,60,61.0,1.0,3.0,2,1,0.5,1,mobile_app,0.75,4,0,0
79,48,90,95.0,5.0,-10.0,4,2,0.5,1,mobile_app,0.03,5,1,1
57,27,60,53.0,-7.0,-13.0,6,5,0.833,1,mobile_app,1.34,1,0,0
103,9,30,48.0,18.0,-3.0,2,1,0.5,1,mobile_app,0.99,5,1,1
68,15,60,71.0,11.0,13.0,6,5,0.833,1,paper,0.0,2,0,0
10,10,60,55.0,-5.0,20.0,5,3,0.6,1,paper,0.0,3,0,0
92,53,30,26.0,-4.0,-1.0,2,1,0.5,1,paper,0.0,1,0,1
69,19,60,45.0,-15.0,-2.0,5,4,0.8,1,mobile_app,0.21,4,0,0
77,23,30,33.0,3.0,-7.0,4,3,0.75,1,paper,0.0,6,1,0
68,5,60,50.0,-10.0,7.0,3,2,0.667,1,mobile_app,0.29,6,1,0
67,27,90,101.0,11.0,11.0,5,4,0.8,1,mobile_app,0.36,2,0,0
11,54,90,88.0,-2.0,4.0,5,4,0.8,1,paper,0.0,2,0,0
68,25,60,52.0,-8.0,-0.0,6,5,0.833,0,paper,0.0,6,1,1
96,39,60,62.0,2.0,-5.0,4,3,0.75,1,mobile_app,0.69,2,0,0
37,11,60,52.0,-8.0,0.0,2,1,0.5,1,paper,0.0,6,1,1
73,9,120,120.0,0.0,14.0,6,5,0.833,1,paper,0.0,3,0,0
4,44,60,66.0,6.0,-2.0,3,2,0.667,1,mobile_app,0.23,3,0,1
42,4,60,62.0,2.0,-21.0,5,3,0.6,1,mobile_app,0.78,6,1,1
53,27,60,61.0,1.0,-3.0,5,3,0.6,1,paper,0.0,6,1,0
118,19,60,62.0,2.0,-2.0,2,1,0.5,1,mobile_app,0.08,6,1,1
26,1,60,36.0,-24.0,-22.0,4,3,0.75,1,mobile_app,0.33,0,0,0
34,32,30,33.0,3.0,2.0,2,1,0.5,1,mobile_app,0.46,0,0,0
50,57,90,91.0,1.0,2.0,5,2,0.4,1,paper,0.0,0,0,1
120,5,90,102.0,12.0,21.0,5,4,0.8,1,paper,0.0,3,0,0
103,49,90,93.0,3.0,-5.0,4,3,0.75,1,mobile_app,0.05,2,0,0
5,32,90,88.0,-2.0,5.0,3,2,0.667,1,paper,0.0,1,0,1
29,43,60,66.0,6.0,5.0,6,5,0.833,1,mobile_app,0.5,4,0,0
99,6,120,116.0,-4.0,6.0,2,1,0.5,1,mobile_app,0.68,1,0,0
7,52,90,91.0,1.0,-3.0,2,1,0.5,1,mobile_app,0.02,6,1,1
103,1,90,86.0,-4.0,-13.0,3,2,0.667,1,mobile_app,0.83,2,0,1
34,54,90,92.0,2.0,0.0,6,5,0.833,1,mobile_app,0.32,3,0,0
111,39,60,58.0,-2.0,0.0,6,4,0.667,1,mobile_app,0.66,0,0,1
36,20,60,77.0,17.0,-5.0,4,3,0.75,1,mobile_app,0.05,0,0,0
53,1,60,89.0,29.0,15.0,6,5,0.833,1,mobile_app,0.48,1,0,0
80,37,30,36.0,6.0,-2.0,6,5,0.833,1,mobile_app,0.54,1,0,0
16,6,60,80.0,20.0,-21.0,4,3,0.75,1,mobile_app,0.18,0,0,0
67,36,30,19.0,-11.0,-1.0,2,1,0.5,1,mobile_app,0.03,3,0,0
61,46,30,23.0,-7.0,2.0,6,4,0.667,1,mobile_app,0.73,4,0,0
95,16,120,116.0,-4.0,3.0,5,4,0.8,1,paper,0.0,4,0,0
120,15,90,90.0,0.0,3.0,2,1,0.5,1,paper,0.0,5,1,0
80,14,60,58.0,-2.0,14.0,6,4,0.667,1,mobile_app,0.3,4,0,0
50,14,60,41.0,-19.0,-11.0,3,2,0.667,1,mobile_app,0.84,0,0,0
49,7,60,75.0,15.0,-5.0,5,4,0.8,1,mobile_app,0.42,6,1,0
51,15,120,145.0,25.0,15.0,3,2,0.667,1,mobile_app,0.25,5,1,0
98,39,90,98.0,8.0,-11.0,2,1,0.5,1,mobile_app,0.57,1,0,0
39,18,90,102.0,12.0,-0.0,4,3,0.75,1,mobile_app,0.18,6,1,0
21,47,60,61.0,1.0,5.0,4,3,0.75,1,mobile_app,0.18,3,0,0
41,49,60,56.0,-4.0,5.0,6,4,0.667,1,mobile_app,0.17,2,0,0
3,45,90,90.0,0.0,3.0,2,1,0.5,1,mobile_app,0.86,1,0,0
13,32,120,137.0,17.0,5.0,6,5,0.833,1,mobile_app,0.17,6,1,0
11,19,60,56.0,-4.0,-9.0,2,1,0.5,1,mobile_app,0.9,4,0,0
93,55,60,58.0,-2.0,4.0,6,6,1.0,1,mobile_app,0.39,3,0,0
87,13,60,73.0,13.0,-12.0,5,4,0.8,1,mobile_app,0.28,5,1,0
84,28,60,70.0,10.0,-8.0,3,2,0.667,1,paper,0.0,5,1,1
56,27,120,112.0,-8.0,3.0,6,5,0.833,1,mobile_app,0.32,3,0,0
87,44,90,89.0,-1.0,-2.0,3,2,0.667,1,paper,0.0,1,0,1
20,33,60,56.0,-4.0,1.0,5,3,0.6,1,mobile_app,0.62,3,0,1
109,48,60,60.0,0.0,2.0,2,2,1.0,1,paper,0.0,4,0,0
61,55,60,64.0,4.0,5.0,2,1,0.5,1,mobile_app,0.68,1,0,1
113,24,30,22.0,-8.0,3.0,3,1,0.333,1,mobile_app,0.49,0,0,1
19,52,60,64.0,4.0,-2.0,3,3,1.0,1,mobile_app,0.42,6,1,0
60,11,90,91.0,1.0,7.0,3,2,0.667,1,mobile_app,0.69,4,0,0
84,55,90,98.0,8.0,-2.0,3,2,0.667,1,mobile_app,0.5,4,0,0
60,11,60,64.0,4.0,9.0,5,4,0.8,1,mobile_app,0.44,3,0,0
54,51,90,90.0,0.0,0.0,2,1,0.5,1,mobile_app,1.33,5,1,1
20,24,90,96.0,6.0,3.0,5,3,0.6,1,paper,0.0,2,0,1
46,57,60,59.0,-1.0,-5.0,6,5,0.833,1,mobile_app,0.16,0,0,0
29,8,90,67.0,-23.0,-24.0,6,5,0.833,1,mobile_app,0.73,5,1,1
37,28,90,88.0,-2.0,-11.0,2,1,0.5,1,paper,0.0,1,0,1
83,54,90,89.0,-1.0,5.0,6,5,0.833,1,paper,0.0,5,1,0
76,3,30,10.0,-20.0,-13.0,2,1,0.5,1,mobile_app,0.79,3,0,1
73,16,60,59.0,-1.0,7.0,2,1,0.5,1,mobile_app,0.06,2,0,1
44,5,60,32.0,-28.0,-7.0,5,4,0.8,1,mobile_app,0.15,3,0,0
116,19,30,26.0,-4.0,-2.0,5,4,0.8,0,mobile_app,0.29,3,0,1
11,24,60,62.0,2.0,-0.0,2,1,0.5,1,paper,0.0,2,0,1
42,37,90,91.0,1.0,10.0,4,3,0.75,1,mobile_app,0.2,1,0,0
15,16,30,25.0,-5.0,5.0,4,3,0.75,1,mobile_app,0.2,2,0,0
41,10,60,59.0,-1.0,4.0,5,4,0.8,1,paper,0.0,2,0,0
116,11,120,110.0,-10.0,13.0,4,3,0.75,1,mobile_app,0.03,3,0,0
44,56,60,60.0,0.0,-2.0,5,4,0.8,1,paper,0.0,6,1,0
110,57,60,60.0,0.0,3.0,2,1,0.5,1,mobile_app,0.6,2,0,0
60,14,60,50.0,-10.0,9.0,6,5,0.833,1,mobile_app,0.12,4,0,0
84,12,60,63.0,3.0,9.0,4,3,0.75,1,paper,0.0,0,0,0
55,4,30,34.0,4.0,-2.0,5,4,0.8,1,mobile_app,0.22,0,0,0
32,57,90,89.0,-1.0,-1.0,4,3,0.75,1,mobile_app,0.51,4,0,0
92,42,60,75.0,15.0,-4.0,3,2,0.667,1,mobile_app,0.12,4,0,1
117,45,60,59.0,-1.0,-4.0,5,4,0.8,1,mobile_app,0.78,5,1,0
32,18,30,27.0,-3.0,-8.0,3,2,0.667,1,mobile_app,0.25,3,0,0
94,38,90,87.0,-3.0,2.0,3,2,0.667,1,paper,0.0,2,0,1
32,4,30,17.0,-13.0,-3.0,4,3,0.75,1,paper,0.0,0,0,0
87,40,90,94.0,4.0,2.0,3,2,0.667,1,mobile_app,0.29,6,1,1
95,35,60,55.0,-5.0,3.0,6,5,0.833,1,mobile_app,0.06,1,0,0
54,20,60,54.0,-6.0,-9.0,5,4,0.8,1,mobile_app,0.51,6,1,0
89,42,60,57.0,-3.0,-5.0,3,2,0.667,1,paper,0.0,1,0,1
33,39,60,53.0,-7.0,-1.0,2,1,0.5,1,mobile_app,0.76,3,0,0
10,26,60,44.0,-16.0,-6.0,3,2,0.667,1,paper,0.0,0,0,1
12,12,90,84.0,-6.0,-9.0,2,1,0.5,1,paper,0.0,5,1,1
54,2,60,72.0,12.0,20.0,3,2,0.667,1,mobile_app,0.29,2,0,1
109,56,60,61.0,1.0,-5.0,3,2,0.667,1,mobile_app,0.38,3,0,0
16,17,60,77.0,17.0,19.0,5,4,0.8,1,mobile_app,0.31,0,0,0
55,18,60,68.0,8.0,3.0,2,1,0.5,1,mobile_app,0.34,1,0,0
85,41,60,63.0,3.0,5.0,2,1,0.5,1,mobile_app,0.44,2,0,0
25,16,30,51.0,21.0,8.0,2,1,0.5,1,mobile_app,0.18,0,0,1
87,23,60,59.0,-1.0,5.0,6,5,0.833,1,mobile_app,0.38,5,1,0
37,42,30,30.0,0.0,8.0,6,5,0.833,1,paper,0.0,2,0,0
98,36,60,60.0,0.0,-6.0,3,2,0.667,1,mobile_app,0.31,5,1,0
70,39,60,70.0,10.0,-1.0,4,3,0.75,1,mobile_app,1.14,1,0,0
66,1,60,60.0,0.0,-10.0,3,2,0.667,1,mobile_app,1.44,0,0,1
22,27,60,54.0,-6.0,-13.0,4,3,0.75,1,mobile_app,0.29,6,1,0
56,29,120,125.0,5.0,-5.0,4,3,0.75,1,mobile_app,0.19,1,0,0
103,38,60,54.0,-6.0,11.0,3,2,0.667,1,mobile_app,0.1,6,1,0
3,9,90,97.0,7.0,-2.0,5,4,0.8,1,mobile_app,0.95,4,0,0
92,10,60,65.0,5.0,20.0,2,1,0.5,1,paper,0.0,3,0,0
60,45,60,59.0,-1.0,9.0,5,4,0.8,1,mobile_app,1.25,4,0,1
87,40,30,34.0,4.0,16.0,5,3,0.6,1,mobile_app,0.67,3,0,1
80,48,60,53.0,-7.0,8.0,2,1,0.5,1,paper,0.0,2,0,1
52,16,90,92.0,2.0,22.0,5,3,0.6,1,mobile_app,0.37,6,1,1
38,59,90,88.0,-2.0,1.0,5,4,0.8,1,paper,0.0,0,0,1
76,17,60,91.0,31.0,2.0,6,4,0.667,1,mobile_app,0.18,5,1,1
17,39,90,91.0,1.0,2.0,6,3,0.5,1,paper,0.0,4,0,0
71,10,60,53.0,-7.0,0.0,2,1,0.5,1,mobile_app,0.22,1,0,0
12,55,30,25.0,-5.0,0.0,2,1,0.5,1,paper,0.0,4,0,1
78,20,90,104.0,14.0,7.0,2,1,0.5,1,mobile_app,0.32,6,1,1
76,48,60,58.0,-2.0,-2.0,4,3,0.75,1,mobile_app,0.26,2,0,0
11,20,30,22.0,-8.0,-12.0,5,4,0.8,1,paper,0.0,3,0,0
91,47,120,122.0,2.0,2.0,5,3,0.6,1,mobile_app,1.91,2,0,1
50,27,120,126.0,6.0,-5.0,3,2,0.667,1,mobile_app,0.23,0,0,0
95,4,90,99.0,9.0,-7.0,3,2,0.667,1,mobile_app,0.14,0,0,0
5,12,60,60.0,0.0,-1.0,2,1,0.5,1,paper,0.0,1,0,1
22,41,90,91.0,1.0,-2.0,3,2,0.667,1,paper,0.0,4,0,1
60,12,60,63.0,3.0,11.0,3,2,0.667,1,paper,0.0,5,1,0
23,17,60,64.0,4.0,-2.0,3,2,0.667,1,mobile_app,0.19,0,0,0
40,32,60,63.0,3.0,8.0,2,1,0.5,1,paper,0.0,0,0,1
80,15,120,132.0,12.0,2.0,3,2,0.667,1,paper,0.0,6,1,1
18,8,120,121.0,1.0,-1.0,6,5,0.833,1,mobile_app,0.57,5,1,0
82,37,90,84.0,-6.0,1.0,3,2,0.667,1,mobile_app,0.28,3,0,1
13,41,30,29.0,-1.0,-7.0,6,5,0.833,1,mobile_app,0.56,5,1,0
22,44,60,64.0,4.0,2.0,2,1,0.5,1,mobile_app,0.06,1,0,0
71,56,60,54.0,-6.0,3.0,5,5,1.0,1,mobile_app,0.54,0,0,0
96,8,120,97.0,-23.0,11.0,2,1,0.5,1,mobile_app,0.7,6,1,0
21,26,30,38.0,8.0,-10.0,3,1,0.333,1,mobile_app,0.64,2,0,0
36,14,30,48.0,18.0,-15.0,6,4,0.667,1,mobile_app,0.11,2,0,0
112,54,90,85.0,-5.0,-2.0,5,3,0.6,1,mobile_app,0.33,3,0,0
119,32,60,61.0,1.0,9.0,4,3,0.75,1,paper,0.0,4,0,0
70,6,90,85.0,-5.0,2.0,5,3,0.6,1,mobile_app,0.28,0,0,1
54,41,30,28.0,-2.0,-4.0,5,4,0.8,1,mobile_app,0.16,4,0,0
42,3,90,94.0,4.0,-17.0,5,4,0.8,1,paper,0.0,4,0,0
74,17,30,16.0,-14.0,-6.0,4,3,0.75,1,mobile_app,0.16,5,1,0
71,43,30,24.0,-6.0,-4.0,4,3,0.75,1,mobile_app,0.62,6,1,0
36,30,60,57.0,-3.0,7.0,2,1,0.5,1,paper,0.0,5,1,1
3,45,60,59.0,-1.0,5.0,6,5,0.833,1,mobile_app,0.34,4,0,0
19,34,60,51.0,-9.0,-7.0,4,3,0.75,1,paper,0.0,6,1,1
116,50,30,33.0,3.0,3.0,3,3,1.0,1,paper,0.0,3,0,1
51,34,30,27.0,-3.0,4.0,2,1,0.5,1,mobile_app,0.7,0,0,1
58,4,90,84.0,-6.0,-13.0,5,4,0.8,1,paper,0.0,6,1,0
57,5,60,64.0,4.0,-1.0,5,4,0.8,1,mobile_app,0.05,6,1,0
94,46,90,89.0,-1.0,1.0,6,5,0.833,1,paper,0.0,6,1,0
8,3,90,102.0,12.0,2.0,6,5,0.833,1,mobile_app,0.31,6,1,0
10,23,30,21.0,-9.0,-14.0,6,5,0.833,1,paper,0.0,6,1,0
34,1,90,70.0,-20.0,2.0,5,4,0.8,1,mobile_app,1.21,4,0,0
59,18,60,57.0,-3.0,6.0,6,5,0.833,1,mobile_app,0.48,0,0,0
81,36,60,60.0,0.0,9.0,2,1,0.5,1,paper,0.0,5,1,1
59,11,30,15.0,-15.0,-7.0,3,1,0.333,1,paper,0.0,0,0,0
53,28,90,78.0,-12.0,-4.0,4,3,0.75,1,mobile_app,1.26,1,0,1
113,59,60,61.0,1.0,-1.0,5,4,0.8,1,mobile_app,0.59,4,0,0
20,5,60,50.0,-10.0,3.0,3,2,0.667,1,paper,0.0,6,1,0
69,4,120,100.0,-20.0,1.0,3,2,0.667,1,mobile_app,0.25,1,0,1
66,17,60,71.0,11.0,6.0,6,5,0.833,1,mobile_app,0.45,1,0,0
57,49,120,117.0,-3.0,-4.0,5,4,0.8,1,mobile_app,0.53,3,0,0
97,24,90,101.0,11.0,3.0,5,4,0.8,1,paper,0.0,2,0,0
33,38,120,120.0,0.0,-4.0,2,1,0.5,1,paper,0.0,5,1,1
115,2,120,124.0,4.0,-2.0,4,2,0.5,1,mobile_app,0.07,1,0,1
40,44,120,119.0,-1.0,8.0,4,2,0.5,1,paper,0.0,6,1,1
66,4,30,10.0,-20.0,-16.0,5,4,0.8,0,mobile_app,0.12,1,0,0
63,42,90,83.0,-7.0,-1.0,6,6,1.0,1,mobile_app,0.62,2,0,0
102,9,90,88.0,-2.0,-13.0,3,2,0.667,1,paper,0.0,4,0,1
53,51,90,92.0,2.0,1.0,6,5,0.833,1,mobile_app,0.88,5,1,0
35,18,60,41.0,-19.0,9.0,5,3,0.6,1,mobile_app,0.96,3,0,0
3,11,120,119.0,-1.0,2.0,4,3,0.75,1,mobile_app,0.14,3,0,0
44,20,60,48.0,-12.0,-1.0,6,5,0.833,1,mobile_app,0.47,4,0,0
100,1,60,63.0,3.0,16.0,2,1,0.5,1,mobile_app,0.04,4,0,0
2,10,60,60.0,0.0,3.0,5,4,0.8,1,paper,0.0,5,1,0
108,36,60,65.0,5.0,5.0,3,2,0.667,1,mobile_app,0.8,0,0,0
66,18,90,102.0,12.0,6.0,5,4,0.8,1,mobile_app,0.73,6,1,0
17,21,30,35.0,5.0,-24.0,2,1,0.5,1,mobile_app,0.09,0,0,1
37,48,90,94.0,4.0,-0.0,5,5,1.0,1,paper,0.0,1,0,0
67,8,90,86.0,-4.0,-11.0,2,1,0.5,1,mobile_app,0.07,5,1,0
38,24,60,87.0,27.0,-7.0,3,2,0.667,1,paper,0.0,1,0,1
14,11,90,75.0,-15.0,15.0,6,5,0.833,0,mobile_app,0.11,4,0,1
80,29,60,55.0,-5.0,-3.0,5,4,0.8,1,mobile_app,1.1,1,0,0
